epoch,step,train_loss,val_accuracy,val_loss
0,427,,0.7817437052726746,0.7801182270050049
0,427,0.887748658657074,,
1,855,,0.8186073899269104,0.6499765515327454
1,855,0.6271256804466248,,
2,1283,,0.8238736391067505,0.5965123772621155
2,1283,0.563124418258667,,
3,1711,,0.7846693992614746,0.6435965895652771
3,1711,0.5285751819610596,,
4,2139,,0.8332358002662659,0.5421321392059326
4,2139,0.52109295129776,,
5,2567,,0.8361614942550659,0.5325101017951965
5,2567,0.5136257410049438,,
6,2995,,0.8367466330528259,0.5344953536987305
6,2995,0.5056470632553101,,
7,3423,,0.7987126708030701,0.5873704552650452
7,3423,0.4924791753292084,,
8,3851,,0.8045640587806702,0.5807809233665466
8,3851,0.5027961134910583,,
9,4279,,0.8238736391067505,0.5428875088691711
9,4279,0.48119014501571655,,
10,4707,,0.7829139828681946,0.6184467673301697
10,4707,0.4906492531299591,,
11,5135,,0.8291398286819458,0.5407757759094238
11,5135,0.48835718631744385,,
12,5563,,0.7729666233062744,0.6310403943061829
12,5563,0.4845845401287079,,
13,5991,,0.8531304597854614,0.46275317668914795
13,5991,0.49511390924453735,,
14,6419,,0.840257465839386,0.47786933183670044
14,6419,0.48689156770706177,,
15,6847,,0.840842604637146,0.5012693405151367
15,6847,0.4814419448375702,,
16,7275,,0.8472791314125061,0.48011770844459534
16,7275,0.49153006076812744,,
17,7703,,0.8654183745384216,0.4355722665786743
17,7703,0.4874904453754425,,
18,8131,,0.8267992734909058,0.5117244124412537
18,8131,0.4795531928539276,,
19,8559,,0.8279695510864258,0.5149449706077576
19,8559,0.48666879534721375,,
20,8987,,0.8308952450752258,0.4935632646083832
20,8987,0.47911641001701355,,
21,9415,,0.8583967089653015,0.45583391189575195
21,9415,0.48000213503837585,,
22,9843,,0.8484494090080261,0.4683420658111572
22,9843,0.4780941903591156,,
23,10271,,0.8531304597854614,0.4660583734512329
23,10271,0.4713532030582428,,
24,10699,,0.8349912166595459,0.5172693133354187
24,10699,0.4839845895767212,,
25,11127,,0.8297249674797058,0.5129663944244385
25,11127,0.48608648777008057,,
26,11555,,0.8472791314125061,0.48916059732437134
26,11555,0.49268049001693726,,
27,11983,,0.8349912166595459,0.5161992907524109
27,11983,0.48909324407577515,,
28,12411,,0.8314803838729858,0.5066268444061279
28,12411,0.4784223437309265,,
29,12839,,0.837916910648346,0.513273298740387
29,12839,0.49108415842056274,,
30,13267,,0.8496196866035461,0.4478219747543335
30,13267,0.4715152382850647,,
31,13695,,0.8607372641563416,0.4568578600883484
31,13695,0.4720645248889923,,
32,14123,,0.8361614942550659,0.5026407241821289
32,14123,0.5027797818183899,,
33,14551,,0.842012882232666,0.488753080368042
33,14551,0.48667722940444946,,
34,14979,,0.8507899641990662,0.4637381136417389
34,14979,0.47116392850875854,,
35,15407,,0.8589818477630615,0.4415157437324524
35,15407,0.4865802526473999,,
36,15835,,0.842012882232666,0.49291953444480896
36,15835,0.47300052642822266,,
37,16263,,0.8636629581451416,0.45181313157081604
37,16263,0.4744824171066284,,
38,16691,,0.8543007373809814,0.47177743911743164
38,16691,0.4939175844192505,,
39,17119,,0.8466939926147461,0.48506471514701843
39,17119,0.47843462228775024,,
40,17547,,0.8519601821899414,0.45487019419670105
40,17547,0.4706861972808838,,
41,17975,,0.8507899641990662,0.4691486358642578
41,17975,0.4845165014266968,,
42,18403,,0.8642480969429016,0.4154150187969208
42,18403,0.4965900182723999,,
43,18831,,0.8461088538169861,0.4702945649623871
43,18831,0.48531776666641235,,
44,19259,,0.8449385762214661,0.4638925790786743
44,19259,0.47970953583717346,,
45,19687,,0.8525453209877014,0.4712762236595154
45,19687,0.47903016209602356,,
46,20115,,0.840257465839386,0.49987471103668213
46,20115,0.47632336616516113,,
47,20543,,0.8619075417518616,0.44605621695518494
47,20543,0.4777613580226898,,
48,20971,,0.8613224029541016,0.43079230189323425
48,20971,0.48328858613967896,,
49,21399,,0.8560561537742615,0.44605767726898193
49,21399,0.4756457507610321,,
